FENAME,编码SOC,FCNAME,ELEMID,k_un1990,k_un1991,k_un1992,k_un1993,k_un1994,k_un1995,k_un1996,k_un1997,k_un1998,k_un1999,k_un2000,k_un2001,k_un2002,k_un2003,k_un2004,k_un2005,k_un2006,k_un2007,k_un2008,k_un2009,k_un2010,k_un2011,k_un2012,k_un2013,k_un2014,k_un2015,k_un2016,k_un2017,k_un2018,k_un2019,k_un2020
Repubic of Belarus,BLR,白俄罗斯,158,10428525,10457616,10475908,10480484,10475394,10461696,10436459,10400924,10357466,10308283,10256482,10201208,10135388,10065878,9999712,9935163,9874700,9825986,9787826,9757708,9731427,9706982,9693749,9691136,9693740,9700609,9708110,9707876,9695574,9673971,9633740
Belize,BLZ,伯利兹,21,182589,186462,190299,194177,198416,203556,209840,217117,224907,232733,240406,248100,255987,263998,272128,280375,288729,297174,305671,314170,322106,329538,337059,344688,352335,359871,367312,374693,382066,389095,394920
Bermuda,BMU,百慕大,5,57470,57874,58322,58740,59112,59465,59840,60227,60603,60981,61371,61763,62139,62468,62740,62958,63080,63156,63258,63353,63447,63533,63560,63506,63355,63144,63068,63275,63571,63812,64030
Republic of Bolivia,BOL,玻利维亚,138,7096194,7244891,7394419,7544489,7693722,7841472,7989367,8137620,8286928,8439052,8592656,8746084,8900583,9057378,9216279,9377388,9542662,9711152,9880593,10051318,10223270,10396246,10569697,10743349,10916988,11090086,11263016,11435534,11606905,11777314,11936162
Federative Republic of Brazil,BRA,巴西,137,150706446,153336445,155900790,158440875,160980472,163515328,166037122,168546707,171039804,173486281,175873720,178211881,180476686,182629278,184722043,186797334,188820682,190779453,192672317,194517548,196353492,198185302,199977706,201721767,203459650,205188205,206859578,208504960,210166592,211782878,213196304
Barbados,BRB,巴巴多斯,30,258868,259402,260212,260996,261712,262304,262794,263224,263642,264170,264657,265377,266455,267499,268505,269477,270426,271444,272635,273792,274711,275486,276198,276865,277493,278083,278649,279187,279688,280180,280693
Brunei Darussalam,BRN,文莱,207,261928,269860,277416,284713,291936,299097,306196,313215,320152,327045,333926,340748,347463,354045,360461,366717,372808,378748,384568,390311,396052,401506,406634,411702,416656,421437,425994,430276,434274,438048,441725
Kingdom of Bhutan,BTN,不丹,204,558442,567710,545944,520838,521260,527536,537494,546865,557142,570990,587207,603234,619048,634627,649991,663323,673260,681614,689737,697678,705516,713330,721146,728888,736357,743274,749762,756122,762096,767459,772506
Republic of Botswana,BWA,博茨瓦纳,124,1341474,1380584,1420695,1462262,1503544,1543634,1582169,1619354,1655699,1691558,1726985,1761930,1795130,1826863,1859085,1892807,1928704,1966977,2007320,2048997,2091664,2134037,2175425,2217278,2260376,2305172,2352416,2401840,2451408,2499702,2546402
Central African Republic,CAF,中非,95,2809221,2898052,2991728,3089146,3187844,3276706,3363570,3458472,3555064,3655360,3759170,3844772,3930648,4026842,4115138,4208834,4294352,4375569,4467233,4564540,4660067,4732022,4773306,4802428,4798734,4819333,4904178,4996741,5094780,5209324,5343020
Canada,CAN,加拿大,2,27657204,28015761,28347641,28668166,28981189,29289423,29593849,29882752,30144812,30399778,30683312,31002763,31322398,31619450,31911668,32215916,32531867,32862458,33218541,33593917,33963412,34323531,34691878,35063691,35404608,35732126,36113532,36554348,37035254,37522584,37888705
Switzerland,CHE,瑞士,171,6711693,6795393,6873179,6936121,6991538,7038297,7069691,7086998,7108221,7142198,7182059,7224403,7276480,7330729,7381151,7428434,7475010,7541904,7638288,7734405,7822435,7910982,7995738,8088367,8187791,8281732,8372898,8451687,8514434,8575588,8638613
Republic of Chile,CHL,智利,143,13342868,13561946,13782297,13998386,14210674,14416796,14615482,14809289,14996742,15176410,15351798,15523978,15693790,15859112,16017966,16175311,16334574,16495538,16661462,16833447,17004162,17173573,17341771,17509925,17687108,17870124,18083879,18368577,18701450,19039485,19300315
Peoples Republic of China,CHN,中国,246,1180479227,1197682627,1211145666,1223451795,1235137599,1246240739,1256649006,1266419227,1275714611,1284557932,1293456891,1302313371,1310694248,1318816036,1326911338,1335109361,1343423998,1351972318,1360745184,1369807293,1378964186,1387984919,1397611702,1407320842,1416568531,1425242661,1433546766,1442041108,1448928199,1453801542,1456928486
Republic of Cote d’Ivoire,CIV,科特迪瓦,94,11910540,12369269,12838314,13316448,13802285,14299726,14810946,15335454,15858990,16345894,16799670,17245468,17683897,18116451,18544903,18970215,19394057,19817700,20244449,20677762,21120042,21562914,22010712,22469268,22995555,23596741,24213622,24848016,25493988,26147551,26811790
Republic of Cameroon,CMR,喀麦隆,101,11430520,11777720,12128604,12486773,12848862,13211647,13575324,13941181,14314598,14698973,15091594,15493253,15914033,16354326,16809407,17275171,17751333,18251866,18777081,19319274,19878036,20448873,21032684,21632850,22299585,23012646,23711630,24393181,25076747,25782341,26491087
Democratic Republic of Congo,COD,刚果(金),110,35987541,37194812,38332302,39580844,41511985,43285792,44118709,44822198,45895524,47227238,48616317,50106657,51662071,53205639,54815607,56550246,58381630,60289422,62249724,64270232,66391257,68654269,70997870,73460021,76035588,78656904,81430977,84283273,87087355,89906890,92853164
Republic of Congo,COG,刚果（布）,104,2385435,2452674,2520958,2594168,2669220,2742309,2816595,2875037,2937166,3016659,3134030,3254101,3331158,3424653,3543012,3672839,3813323,3956328,4089602,4257230,4437884,4584216,4713257,4828066,4944862,5064386,5186824,5312340,5441062,5570732,5702174
Cook Islands,COK,库克群岛,47,17123,17308,17456,17564,17656,17735,17798,17581,17067,16500,15897,15294,15028,15077,15113,15146,15199,15507,16063,16634,17212,17769,18000,17916,17816,17695,17546,17395,17253,17110,17029
Republic of Colombia,COL,哥伦比亚,145,32601393,33272628,33939039,34614735,35295461,35970101,36632573,37291946,37944414,38585033,39215135,39837875,40454050,41057687,41648268,42220940,42772910,43306582,43815313,44313917,44816108,45308900,45782417,46237930,46677947,47119728,47625955,48351670,49276961,50187406,50930662
Comoros,COM,科摩罗,129,431119,442277,452990,463318,473478,483760,494288,505033,515959,526444,536758,547741,559047,570130,581154,592683,604658,616900,629470,642493,656024,670070,684552,699392,714612,730216,746232,761664,776314,790986,806166
Republic of Cape Verde,CPV,佛得角,84,364563,372722,381947,391749,401655,411382,421007,430654,440214,449627,458251,465958,473231,480089,486583,492828,498884,504732,510336,515638,521212,527521,533864,539940,546076,552166,558394,564954,571202,577030,582640
Republic of Costa Rica,CRI,哥斯达黎加,37,3158253,3239414,3321940,3405372,3489152,3572856,3656234,3739422,3821422,3901430,3979192,4053222,4122623,4188610,4252800,4315887,4378172,4440019,4501921,4563127,4622252,4679926,4736594,4791535,4844288,4895242,4945205,4993842,5040734,5084532,5123105
Republic of Cuba,CUB,古巴,8,10626680,10713812,10783748,10840934,10887206,10926703,10963031,10998129,11033758,11070094,11105791,11139127,11170051,11199217,11225294,11246114,11260630,11269887,11276609,11283185,11290418,11298710,11309290,11321580,11332026,11339894,11342012,11336405,11328244,11316696,11300698
Cayman Islands,CYM,开曼群岛,10,26028,27340,28677,30038,31418,32802,34194,35579,36946,38295,39658,41054,42456,43862,45286,46727,48177,49647,51123,52602,54074,55492,56860,58212,59560,60911,62254,63581,64884,66134,67310
Republic of Cyprus,CYP,塞浦路斯,217,788500,799061,810431,825986,844444,862418,880058,897470,914660,931600,948237,964830,982194,1000350,1018684,1037062,1055438,1073873,1092390,1110974,1129686,1145086,1156556,1166968,1176995,1187280,1197881,1208523,1218831,1228836,1237537
Czech Republic,CZE,捷克,166,10301192,10303362,10310956,10318916,10321302,10311702,10295651,10279044,10263832,10249147,10234710,10230276,10238170,10248038,10260999,10280113,10304815,10337829,10378583,10421510,10464749,10496378,10511064,10514552,10517182,10523798,10527590,10531305,10534593,10536871,10530954
Federal Republic of Germany,DEU,德国,159,79370196,79801988,80205030,80573488,80882126,81123262,81300865,81436087,81524383,81556965,81551677,81514568,81443426,81346810,81266673,81212168,81177816,81183830,81217482,81260615,81325090,81423378,81545565,81680591,81858825,82073226,82331422,82624374,82896696,83148141,83328988
Republic of Djibouti,DJI,吉布提,90,577174,628521,623196,611230,623478,629618,644649,667786,694920,719371,742032,765490,789128,806411,818373,830862,846946,865196,882886,901103,919199,936811,954296,971753,989086,1006259,1023262,1040233,1057198,1073994,1090156
Commonwealth of Dominica,DMA,多米尼克,24,69482,69141,69112,69169,69198,69201,69166,69081,68938,68698,68346,68152,68262,68442,68574,68674,68742,68775,68782,68786,68755,68742,68888,68818,69371,70006,70075,70403,70823,71428,71994
Kingdom of Denmark,DNK,丹麦,157,5144624,5158325,5175469,5193776,5213800,5235196,5256008,5277382,5298992,5319854,5340655,5360748,5378697,5396355,5415586,5436312,5457864,5479722,5502751,5526452,5550848,5576016,5600960,5625384,5650652,5677796,5706857,5737284,5766686,5795878,5825641
Dominican Republic,DOM,多米尼加,14,7129004,7278402,7427340,7576074,7723934,7869753,8012314,8150076,8282126,8411374,8540792,8669040,8795101,8919852,9043127,9164768,9284168,9402206,9522948,9648061,9775755,9903737,10030882,10157051,10282115,10405832,10527592,10647244,10765530,10881882,10999664
Democratic People,DZA,阿尔及利亚,73,25518074,26133905,26748303,27354327,27937006,28478022,28984634,29476031,29924668,30346083,30774621,31200985,31624696,32055884,32510186,32956690,33435080,33983828,34569592,35196037,35856344,36543542,37260562,38000626,38760168,39543154,40339329,41136546,41927007,42705368,43451666
Republic of Ecuador,ECU,厄瓜多尔,136,10449838,10686279,10914222,11132829,11347652,11561682,11775222,11987838,12199694,12412046,12626507,12845521,13070608,13301184,13534592,13770012,14009062,14251836,14496797,14742766,14989586,15237728,15483883,15722990,15957994,16195902,16439585,16696944,17015672,17343740,17588595
Arab Republic of Egypt,EGY,埃及,77,57214630,58611032,59989142,61382200,62775847,64166908,65565195,66993728,68446011,69907887,71371371,72854261,74393759,75963322,77522426,79075310,80629670,82218756,83844782,85501064,87252413,89200054,91240376,93377890,95592324,97723799,99784030,101789386,103740765,105618671,107465134
State of Eritrea,ERI,厄立特里亚,88,2149960,2039220,1921153,1981419,2042500,2157220,2264074,2291561,2322753,2356477,2392880,2461926,2547424,2653390,2763140,2831732,2880093,2926168,3005779,3083888,3147727,3207570,3252596,3296367,3323425,3340006,3365288,3396933,3445374,3498818,3555868
Western Sahara,ESH,西撒哈拉,78,178529,184292,189776,195126,200455,208381,219770,232097,244592,257290,270374,283813,297408,311179,325118,339187,353658,368432,383072,397906,413296,429289,445948,462756,478009,491824,505455,518859,532004,544876,556048
Kingdom of Spain,ESP,西班牙,192,38889889,38997063,39202251,39420546,39623725,39814573,39996473,40180050,40362356,40542232,40741652,40966450,41477655,42230270,42959666,43685374,44422831,45245782,45966538,46367772,46572772,46729232,46756082,46603459,46464551,46431342,46473315,46584170,46792043,47131372,47363807
Estonia,EST,爱沙尼亚,154,1570674,1565627,1540381,1504436,1475727,1452775,1434670,1421490,1411147,1403498,1396877,1387995,1379240,1370660,1362480,1354662,1346709,1340574,1337011,1334552,1331535,1327429,1322682,1317982,1314526,1314657,1315926,1317549,1322148,1327039,1329444
Federal Democratic Republic of Ethiopia,ETH,埃塞俄比亚,85,47878074,49937430,52011554,53791672,55620210,57476536,59347649,61233480,63136493,65077580,67031867,69018932,71073214,73168838,75301026,77469940,79691050,81996185,84357104,86755585,89237791,91817930,94451280,97084366,99746766,102471896,105293228,108197950,111129438,114120594,117190911
Republic of Finland,FIN,芬兰,152,4986545,5013854,5042121,5066605,5088490,5107943,5124718,5139942,5153544,5165491,5176209,5188002,5200596,5212989,5228141,5246071,5266250,5288689,5313350,5338815,5363272,5388166,5413858,5438872,5461440,5479461,5495219,5508140,5515461,5521536,5529468
Republic of Fiji Islands,FJI,斐济,51,780430,784832,786859,789198,790804,792246,796538,804572,813948,823422,832508,841320,849891,858306,866694,874924,883083,890648,896730,901383,905170,908354,911059,913453,915560,917200,918371,919018,918996,918464,920422
France Republic,FRA,法国,164,56412897,56645216,56864048,57053732,57230064,57420354,57623178,57839364,58080344,58352208,58665453,59014772,59372786,59728262,60108438,60510080,60919150,61329376,61721009,62093296,62444567,62775268,63071416,63335180,63588491,63809769,63989318,64144086,64277808,64399759,64480053
Faroe Islands,FRO,法罗群岛,151,47479,46810,46005,45096,44131,43805,44138,44496,44865,45203,45660,46245,46813,47392,47989,48292,48313,48362,48411,48429,48410,48386,48392,48418,48464,48816,49500,50230,50955,51681,52415
Federated States of Micronesia,FSM,密克罗尼西亚联邦,67,98603,100427,102893,106030,108844,110328,110785,111133,111406,111539,111708,111948,111992,111805,111438,110940,110301,109532,108704,107868,107588,107887,108232,108610,109024,109462,109926,110430,110929,111378,112106
Gabonese Republic,GAB,加蓬,106,983028,1009995,1037446,1065390,1093611,1121964,1150601,1179806,1209832,1240764,1272935,1306590,1341696,1378398,1417110,1458353,1502534,1549774,1599978,1653542,1711105,1772500,1836705,1902226,1966855,2028517,2086206,2140215,2192012,2242786,2292573
United Kingdom of Great Britain and Nort,GBR,英国,153,57210442,57359454,57509240,57647462,57785900,57930364,58078586,58250198,58438321,58635202,58850044,59092016,59355690,59649799,59995850,60383741,60803700,61260676,61742151,62243378,62760039,63286362,63808727,64302297,64773504,65224364,65655203,66064804,66432993,66778659,67059474
Georgia,GEO,格鲁吉亚,215,5391636,5322106,5239328,5127511,4997913,4877676,4761272,4640032,4518405,4394500,4265172,4144482,4061128,4017825,3988860,3961182,3933867,3906470,3879698,3855200,3836831,3821662,3804356,3786022,3774235,3771132,3771110,3771900,3772325,3770810,3765912
Republic of Ghana,GHA,加纳,96,15446982,15843472,16241548,16643634,17040854,17438874,17844010,18268040,18714708,19176791,19665502,20195577,20758326,21329514,21906444,22496951,23098586,23708320,24326087,24950762,25574719,26205941,26858762,27525597,28196358,28870939,29554303,30222262,30870641,31522290,32180402
Gibraltar,GIB,直布罗陀,189,27317,26988,26945,27118,27282,27412,27491,27564,27636,27695,27741,27721,27892,28301,28716,29156,29587,29996,30398,30818,31262,31701,32160,32411,32452,32520,32565,32602,32648,32685,32708
Republic of Guinea,GIN,几内亚,91,6354144,6615734,6832195,7046098,7262112,7468347,7683116,7842806,7992545,8174897,8336967,8445717,8577790,8772254,8961039,9140114,9330625,9547082,9779785,10021323,10270728,10527712,10788692,11055430,11333366,11625998,11930985,12240788,12554864,12877538,13205152
Republic of the Gambia,GMB,冈比亚,86,1040616,1083536,1127152,1168309,1205882,1242155,1279070,1317002,1356189,1396499,1437539,1479449,1522223,1566257,1612225,1660368,1711294,1764883,1820542,1878119,1937275,1998212,2061014,2124869,2189019,2253134,2317206,2381182,2444916,2508884,2573995
Republic of Guinea-Bissau,GNB,几内亚比绍,89,973551,993856,1022904,1056761,1089617,1117222,1140604,1162443,1184071,1206474,1230849,1257380,1285678,1315653,1347009,1379713,1414092,1450572,1488431,1527196,1567220,1609017,1652717,1697753,1743309,1788919,1834552,1879826,1924955,1970456,2015828
Republic of Equatorial Guinea,GNQ,赤道几内亚,103,465549,483142,501334,520236,539992,560740,582573,605570,629734,655028,684977,719270,754116,789681,826355,864726,905418,948814,994972,1043686,1094524,1144588,1193636,1243941,1295183,1346973,1398927,1450694,1502092,1553031,1596049
Hellenic Republic,GRC,希腊,188,10302255,10391547,10478388,10563440,10647416,10727927,10803806,10875274,10939475,10993862,11038109,11072182,11096616,11110487,11115090,11113448,11106093,11091492,11073624,11055496,11033783,11004724,10963634,10914506,10862969,10806641,10749742,10692228,10633270,10574024,10512232
Grenada,GRD,格林纳达,34,99047,99758,101040,102173,103174,104060,104846,105548,106200,106824,107432,107936,108231,108740,109516,110254,110988,111725,112478,113250,114039,114918,115912,116945,117972,118980,119966,120920,121838,122724,123663
Greenland,GRL,格陵兰,1,55599,55658,55688,55708,55700,55788,55960,56072,56123,56106,56184,56386,56565,56728,56866,56887,56811,56708,56578,56442,56351,56288,56199,56089,55952,55894,55916,55928,55931,55931,56026
Republic of Guatemala,GTM,危地马拉,23,9084780,9329556,9576630,9831868,10094921,10363090,10632293,10905381,11184032,11463504,11735894,12009194,12289856,12570504,12852436,13132814,13412406,13696606,13979451,14259411,14543121,14833454,15128306,15422662,15713740,16001107,16291004,16578723,16850176,17106338,17362718
French Guiana,GUF,法属圭亚那,135,113932,118507,122927,127499,132260,137183,142232,147372,152649,158117,164351,171398,178730,186207,193694,201259,207869,213304,218517,223524,228453,233632,239243,245370,251371,257026,262813,269353,276646,284072,290969
Guyana,GUY,圭亚那,133,747116,744096,744998,747189,749546,751689,753570,755211,756696,758014,759051,759810,760324,760562,760424,759709,758367,756521,754150,751258,747932,744230,743966,747420,751115,755031,759087,763252,785514,798753,797202
Republic of Honduras,HND,洪都拉斯,29,5053234,5196888,5344774,5496840,5652934,5812832,5976550,6144112,6308537,6477365,6656725,6837862,7019908,7201880,7383406,7564613,7745200,7924462,8101777,8277302,8450932,8622504,8792366,8960657,9127846,9294506,9460798,9626842,9792850,9958829,10121763
Republic of Croatia,HRV,克罗地亚,178,4873706,4844522,4798321,4792402,4819426,4807100,4758628,4711373,4659932,4605329,4548434,4506759,4482868,4461138,4443350,4429682,4417560,4405532,4393664,4382130,4368682,4351842,4331594,4308854,4283972,4254815,4223751,4192467,4160485,4129752,4096870
Republic of Haiti,HTI,海地,11,6925330,7066055,7205780,7345940,7486090,7627316,7770594,7915172,8060896,8208941,8360224,8511728,8661546,8812245,8961490,9111900,9266288,9420826,9575248,9730638,9842880,9954312,10108539,10261206,10412740,10563757,10713848,10863544,11012421,11160438,11306802
Republic of Hungary,HUN,匈牙利,170,10375990,10374747,10370060,10357420,10342434,10327170,10308268,10286220,10260966,10230256,10202055,10177955,10148402,10118062,10094492,10073526,10057062,10041172,10023510,10008580,9986825,9953244,9922127,9894640,9867901,9844246,9815104,9788941,9776358,9771796,9750572
Republic of Indonesia,IDN,印度尼西亚,237,182159874,185361228,188558416,191737287,194928533,198140162,201373790,204628007,207855486,210996910,214072422,217112437,220115092,223080121,225938594,228805144,231797427,234858289,237936544,240981299,244016173,247099697,250222695,253275918,256229762,259091970,261850182,264498852,267066843,269582878,271857970
Republic of Indonesia,IND,印度,236,870452165,888941756,907574049,926351297,945261958,964279129,983281218,1002335230,1021434576,1040500054,1059633675,1078970907,1098313038,1117415124,1136264583,1154638713,1172373788,1189691810,1206734806,1223640160,1240613620,1257621191,1274487214,1291132063,1307246509,1322866505,1338636340,1354195680,1369003306,1383112050,1396387127
Ireland,IRL,爱尔兰,162,3485374,3504805,3528367,3545700,3559398,3579482,3606728,3640150,3678667,3719912,3768950,3829018,3894258,3958705,4031954,4121216,4234806,4359834,4452392,4499792,4524585,4544501,4564550,4588832,4622167,4665760,4715788,4771854,4834507,4896019,4946119
Islamic Republic of Iran,IRN,伊朗,218,55793629,57990883,59372016,59755430,59985748,60794809,61598378,62480532,63461421,64474744,65544383,66674851,67327117,67954699,69061674,70182594,71275760,72319418,73318394,74322685,75373855,76342971,77324451,78458928,79961672,81790841,83306231,84505076,85617562,86564202,87290193
Republic of Iraq,IRQ,伊拉克,201,17658381,17846378,18385673,19295818,20248073,20948858,21639332,22330770,23053488,23820734,24628858,25425663,26255343,27068823,27858948,28698684,28905607,28660887,29218381,30289040,31264875,32378061,33864447,35481800,36746488,37757812,38697943,39621162,40590700,41563520,42556984
Republic of Iceland,ISL,冰岛,149,255019,257991,261262,263932,266224,267681,269136,271356,274285,277626,281462,285238,287798,289801,292360,297028,304070,311853,317715,318800,318333,319293,320979,324024,327644,331060,335675,343632,352946,360774,366669
State of Israel,ISR,以色列,216,4803254,4942812,5079388,5212998,5346292,5478734,5612494,5743283,5869504,5994088,6116958,6237982,6356692,6475914,6595986,6714124,6832077,6952003,7074522,7199702,7328445,7459749,7592106,7726676,7863846,8007778,8159009,8309257,8456483,8607920,8757490
Italian Republic,ITA,意大利,181,56756561,56794489,56833186,56869454,56883819,56885126,56898973,56925800,56938738,56945068,56966398,56994992,57107577,57425175,57860661,58199876,58429903,58778482,59224228,59562841,59822450,60025952,60190146,60312599,60322792,60232906,60118626,60004032,59877425,59727932,59500579
Jamaica,JAM,牙买加,17,2392030,2411867,2434574,2459062,2484182,2509372,2532894,2554954,2576567,2596270,2612205,2625405,2638244,2651027,2664024,2676863,2689660,2701221,2711373,2722402,2733896,2746170,2759817,2773129,2784543,2794444,2802695,2808376,2811835,2813773,2820436
Hashemite Kingdom of Jordan,JOR,约旦,212,3480587,3666379,3866887,4075759,4278166,4458195,4608676,4733665,4844403,4950775,5056174,5163310,5275532,5396116,5532423,5678534,6075548,6473456,6632873,6780492,6931258,7109980,7211863,7694814,8658026,9494246,9964656,10215382,10459866,10698683,10928721
Japan,JPN,日本,232,123686321,124073993,124444693,124779576,125119269,125433969,125726223,126027985,126308390,126555063,126803861,127065731,127301750,127502352,127671288,127798373,127902167,128006426,128077633,128117042,128105431,128007257,127853688,127678924,127476735,127250933,126993858,126662472,126255866,125791676,125244761
Republic of Kazakhstan,KAZ,哈萨克斯坦,224,16866563,16993792,17043417,16979697,16747151,16434324,16144248,15820432,15474254,15256255,15236252,15281285,15338963,15416712,15521922,15656248,15822748,16006136,16196517,16402369,16627837,16864917,17102864,17345732,17592298,17835909,18078553,18314814,18538099,18754258,18979243
Republic of Kenya,KEN,肯尼亚,109,23162269,23918235,24655723,25391830,26133744,26878347,27615736,28364264,29137373,29965129,30851606,31800343,32779823,33767122,34791836,35843010,36925254,38036794,39186895,40364444,41517896,42635144,43725806,44792368,45831864,46851488,47894670,48948137,49953304,50951450,51985780
Kyrgyz　Republic,KGZ,吉尔吉斯斯坦,196,4394734,4456094,4501260,4507634,4530894,4596456,4666585,4738386,4810412,4878911,4935182,4981444,5026642,5078276,5137040,5193114,5246785,5294766,5345415,5414085,5483774,5552336,5631950,5719560,5814417,5914980,6018299,6121260,6223494,6323643,6424874
Kingdom of Cambodia,KHM,柬埔寨,226,8910808,9259362,9718215,10243550,10636353,10919528,11182612,11431569,11669077,11899006,12118841,12338192,12561778,12787710,13016371,13246583,13477779,13714791,13943888,14155740,14363532,14573884,14786640,14999683,15210817,15417523,15624584,15830688,16025238,16207746,16396860
Republic of Kiribati,KIR,基里巴斯,42,75124,76612,77902,79092,80264,81481,82832,84308,85804,87289,88826,90531,92400,94302,96224,98164,100083,101998,103966,105996,107995,109871,111618,113311,114985,116707,118513,120362,122262,124241,126464
Federation of Saint Kitts and Nevis,KNA,圣基茨和尼维斯,18,40636,40542,40900,41446,42001,42550,43097,43656,44230,44825,45461,45986,46264,46431,46580,46725,46874,47015,47156,47286,47403,47581,47727,47766,47789,47790,47788,47786,47761,47712,47642
Republic of Korea,KOR,韩国,233,44120039,44487412,44703709,44932862,45165780,45393418,45660168,45962393,46250259,46520444,46788591,47064790,47320668,47539738,47727285,47889573,48049347,48220601,48398626,48588019,48813042,49169878,49634185,50098229,50558043,50994401,51309984,51511638,51676900,51803830,51844690
State of Kuwait,KWT,科威特,202,1674938,1339500,1620633,1653645,1641106,1655222,1703318,1761468,1819544,1877427,1934901,1991674,2047364,2101506,2153480,2235403,2363409,2506769,2650930,2795550,2943356,3143825,3394663,3646518,3761584,3908743,4048085,4124904,4317185,4441100,4360444
Lao People,LAO,老挝,205,4314442,4437224,4561106,4685296,4807950,4927432,5043914,5150538,5246922,5340056,5430853,5519707,5606101,5689065,5768167,5852970,5946593,6041348,6135862,6229930,6323418,6416326,6508804,6600742,6691454,6787419,6891362,6997917,7105006,7212053,7319399
Lebanese Republic,LBN,黎巴嫩,199,3593700,3666734,3745406,3818796,3888144,3959640,4034243,4107550,4178784,4250020,4320642,4389200,4446666,4504808,4574798,4643044,4719864,4809608,4887613,4951134,4995800,5045056,5178337,5678852,6274342,6398940,6258620,6109252,5950839,5781906,5662924
Republic of Liberia,LBR,利比里亚,100,2209730,1939236,2052626,2132770,2125198,2142422,2203966,2383300,2639224,2789743,2895224,2981648,3060599,3085173,3122446,3266318,3455397,3632740,3783887,3905066,4019956,4181150,4331740,4427312,4519398,4612329,4706098,4796631,4889391,4985289,5087584
Great Socialist People,LBY,利比亚,75,4236983,4341971,4444820,4544970,4641296,4733063,4820066,4902346,4980962,5057998,5154790,5275916,5405326,5542641,5687562,5837986,5973370,6097178,6228370,6360191,6491988,6188132,5869870,5985221,6097764,6192235,6282196,6378261,6477793,6569088,6653942
Saint Lucia,LCA,圣卢西亚,27,142301,144268,146420,148595,150561,152348,153969,155454,156855,158256,159500,160594,161799,163047,164239,165386,166470,167518,168576,169688,170935,172146,173124,173978,174804,175623,176414,177164,177888,178583,179237
Principality of Liechtenstein,LIE,列支敦士登,172,28765,29168,29581,30012,30446,30890,31337,31770,32190,32615,33026,33376,33693,34000,34300,34603,34889,35150,35400,35675,35926,36189,36504,36806,37096,37355,37609,37888,38181,38482,38756
Democratic Socialist Republic of Sri Lan,LKA,斯里兰卡,227,17204094,17416596,17624457,17825611,18011744,18177572,18322506,18449123,18560798,18670411,18776371,18920275,19110707,19303180,19490431,19673866,19870706,20078655,20285643,20482477,20668557,20859743,21017147,21131756,21239457,21336697,21425494,21506812,21580710,21649664,21715079
Kingdom of Lesotho,LSO,莱索托,126,1798997,1829509,1858507,1885478,1910642,1934079,1955098,1972579,1985639,1994243,1998630,1999473,1997534,1993030,1985384,1977424,1976780,1983465,1995014,2009169,2022747,2037677,2054718,2073939,2095242,2118520,2143872,2170617,2198017,2225702,2254100
Republic of Lithuania,LTU,立陶宛,156,3785847,3793425,3795742,3788528,3770456,3747268,3722022,3694896,3665510,3633944,3599636,3560142,3515799,3469675,3422591,3373533,3322932,3272418,3224378,3180479,3139019,3099798,3063341,3028190,2994927,2963765,2933674,2904450,2876128,2849083,2820267
Grand Duchy of Luxembourg,LUX,卢森堡,165,381266,386398,391516,396698,402044,407635,413202,418412,423574,429348,435628,441250,445913,451352,457788,464860,472404,479868,488635,497868,507070,518206,530585,543066,556069,569408,583351,596282,607913,619973,630400
Republic of Latvia,LVA,拉脱维亚,155,2689391,2678964,2662884,2638888,2606454,2570151,2534288,2498879,2462337,2426350,2392530,2359250,2326144,2294342,2263443,2233156,2203913,2176053,2150412,2126265,2101530,2076974,2053636,2031486,2011039,1991955,1973476,1954862,1935630,1916555,1897052
"Guadeloupe,GLP",MAF,瓜德罗普,22,28127,28736,29035,29247,29380,29435,29407,29299,29102,29099,29610,30387,31160,31929,32696,33452,34183,34887,35542,36132,36458,36350,36026,35639,35260,35020,34811,34496,33852,33121,32553
Kingdom of Morocco,MAR,摩洛哥,76,24570814,24988083,25400676,25806777,26201551,26599048,26999093,27397118,27791825,28176997,28554415,28930097,29301817,29661270,30033125,30431902,30833022,31232633,31634992,32042877,32464865,32903699,33352169,33803527,34248603,34680458,35107264,35528115,35927511,36304408,36688772
Principality of Monaco,MCO,摩纳哥,180,30329,30564,30794,31024,31253,31482,31719,31968,32209,32394,32465,32444,32386,32316,32236,32141,32011,31823,31862,32401,33178,33945,34700,35426,36110,36760,37071,37044,37029,37034,36922
Republic of Moldova,MDA,摩尔多瓦,168,4480199,4490928,4494902,4493689,4482508,4461232,4430195,4393790,4353534,4303938,4251573,4200501,4147642,4093982,4046996,4001382,3942748,3876843,3812422,3749492,3678186,3595126,3507191,3416530,3338336,3277388,3225123,3180506,3141837,3109491,3084847
Republic of Madagascar,MDG,马达加斯加,118,11882762,12245260,12623342,13020100,13436122,13869138,14317454,14778902,15250934,15730884,16216431,16709665,17211934,17724310,18250774,18792171,19350299,19924958,20513599,21117092,21731053,22348158,22966240,23588073,24215976,24850912,25501941,26169542,26846541,27533134,28225177
Republic of Maldives,MDV,马尔代夫,206,224957,232150,239136,245845,252201,258208,263842,269040,273796,278111,282507,287324,292284,297226,302134,307018,314401,325126,336883,349037,361574,374440,387539,400728,416738,435582,454252,472442,489758,504508,514438
