FENAME,编码SOC,FCNAME,ELEMID,k_un1990,k_un1991,k_un1992,k_un1993,k_un1994,k_un1995,k_un1996,k_un1997,k_un1998,k_un1999,k_un2000,k_un2001,k_un2002,k_un2003,k_un2004,k_un2005,k_un2006,k_un2007,k_un2008,k_un2009,k_un2010,k_un2011,k_un2012,k_un2013,k_un2014,k_un2015,k_un2016,k_un2017,k_un2018,k_un2019,k_un2020
Republic of Sierra Leone,SLE,塞拉利昂,97,4325388,4378170,4301566,4295689,4314952,4324149,4347370,4405028,4449975,4475145,4584067,4857096,5140112,5350907,5533329,5683334,5809774,5939164,6090860,6259842,6436698,6612384,6788587,6964858,7140688,7314773,7493913,7677566,7861281,8046828,8233970
Republic of El Salvador,SLV,萨尔瓦多,28,5367179,5461070,5552206,5630987,5693038,5748196,5797140,5842638,5885083,5923852,5958482,5988095,6011275,6026848,6035656,6037817,6034436,6044131,6068099,6091188,6114034,6137348,6161289,6185642,6209526,6231066,6250510,6266654,6276342,6280217,6292731
Republic of San Marino,SMR,圣马力诺,179,23132,23459,23808,24182,24535,24886,25235,25596,25997,26404,26823,27336,27969,28601,29093,29508,29959,30372,30700,31060,31608,32496,33132,33285,33389,33570,33834,34056,34156,34178,34007
Somalia Republic,SOM,索马里,107,6999096,6732702,6428142,6620729,6959828,7210930,7472450,7734313,8056862,8384479,8721465,9070747,9411103,9758280,10117354,10467292,10784973,11118092,11444870,11730037,12026650,12216838,12440326,12852485,13309235,13763906,14292847,14864221,15411094,15981300,16537016
"Republic of Serbia,SEB",SRB,塞尔维亚,175,7987528,7964456,7943502,7957071,7969951,7982462,7993446,7997525,7985506,7959744,7935022,7917794,7904268,7887463,7863394,7830944,7794792,7758174,7722794,7688034,7653748,7620918,7591350,7566676,7543960,7519496,7493288,7464880,7433818,7401056,7358004
Democratic Republic of Sao Tome and Prin,STP,圣多美和普林西比,105,120343,123084,125648,128182,130666,133077,135412,137656,139790,141808,143714,146258,149841,153762,157697,161680,165725,169845,174004,178128,182138,186044,189924,193757,197497,201124,204632,208036,211344,214599,218641
Republic of Suriname,SUR,苏里南,134,412756,415981,419521,422375,426548,434490,443834,452886,461749,470458,478998,487394,495666,503780,510572,516220,522022,527946,533938,539987,546080,552146,558110,563947,569682,575475,581453,587560,593714,600301,607065
Slovakia Republic,SVK,斯洛伐克,167,5261305,5280226,5301892,5321859,5338811,5349996,5358289,5365829,5371080,5374620,5376690,5376456,5375206,5374376,5374931,5376242,5377236,5378382,5381636,5388926,5396424,5402680,5409283,5414739,5419569,5424444,5431203,5439416,5446746,5453924,5456681
Republic of Slovenia,SVN,斯洛文尼亚,173,1986024,1989797,1991340,1991685,1991449,1991106,1990667,1989828,1988279,1986261,1984339,1982487,1983767,1989411,1996722,2004778,2013570,2023229,2034033,2045578,2057288,2065453,2069354,2072374,2074917,2080862,2090020,2098392,2105924,2112902,2117641
Kingdom of Sweden,SWE,瑞典,148,8548406,8594170,8640272,8683404,8723460,8758496,8785494,8807869,8828633,8848876,8871044,8896748,8926012,8961506,9004262,9051738,9104720,9164272,9229270,9301413,9381730,9467388,9555987,9648932,9747508,9849348,9953317,10058190,10162298,10267922,10368970
